"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"1999"	"1999"	3824	280072	1365.4
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2000"	"2000"	3768	283794	1327.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2001"	"2001"	3626	296820	1221.6
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2002"	"2002"	3764	289527	1300.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2003"	"2003"	3558	283849	1253.5
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"1999"	"1999"	214	284008	75.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2000"	"2000"	212	286737	73.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2001"	"2001"	217	286195	75.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2002"	"2002"	199	296024	67.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2003"	"2003"	189	288700	65.5
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"1999"	"1999"	141	282877	49.8
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2000"	"2000"	146	286215	51.0
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2001"	"2001"	115	283697	40.5
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2002"	"2002"	122	286087	42.6
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2003"	"2003"	143	295981	48.3
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"1999"	"1999"	106	284698	37.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2000"	"2000"	88	287829	30.6
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2001"	"2001"	98	286757	34.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2002"	"2002"	80	283844	28.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2003"	"2003"	99	286352	34.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"1999"	"1999"	88	305860	28.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2000"	"2000"	99	296725	33.4
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2001"	"2001"	71	288310	24.6
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2002"	"2002"	81	287985	28.1
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2003"	"2003"	57	285602	20.0
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"1999"	"1999"	78	315505	24.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2000"	"2000"	73	306833	23.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2001"	"2001"	54	294497	18.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2002"	"2002"	63	289265	21.8
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2003"	"2003"	63	289155	21.8
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"1999"	"1999"	83	322010	25.8
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2000"	"2000"	65	318100	20.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2001"	"2001"	56	305951	18.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2002"	"2002"	56	294696	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2003"	"2003"	61	289263	21.1
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"1999"	"1999"	65	329774	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2000"	"2000"	71	328060	21.6
