"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2009"	"2009"	3445	303502	1135.1
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2010"	"2010"	3140	297421	1055.7
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2011"	"2011"	3094	300740	1028.8
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2012"	"2012"	2973	297309	1000.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2013"	"2013"	3083	296741	1039.0
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2009"	"2009"	203	308004	65.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2010"	"2010"	191	301236	63.4
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2011"	"2011"	190	300095	63.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2012"	"2012"	175	300805	58.2
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2013"	"2013"	176	299235	58.8
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2009"	"2009"	109	307687	35.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2010"	"2010"	108	309440	34.9
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2011"	"2011"	115	300096	38.3
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2012"	"2012"	99	298293	33.2
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2013"	"2013"	99	299112	33.1
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2009"	"2009"	92	294506	31.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2010"	"2010"	65	306977	21.2
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2011"	"2011"	73	309997	23.5
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2012"	"2012"	87	301022	28.9
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2013"	"2013"	77	298890	25.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2009"	"2009"	74	292927	25.3
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2010"	"2010"	59	299217	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2011"	"2011"	58	308037	18.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2012"	"2012"	65	310997	20.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2013"	"2013"	73	301709	24.2
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2009"	"2009"	65	293961	22.1
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2010"	"2010"	39	293849	13.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2011"	"2011"	50	301210	16.6
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2012"	"2012"	61	309069	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2013"	"2013"	62	311775	19.9
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2009"	"2009"	50	289568	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2010"	"2010"	47	292446	16.1
