"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	15735	1495713	1052.0
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	935	1509375	61.9
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	530	1514628	35.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	394	1511392	26.1
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	329	1512887	21.7
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	277	1509864	18.3
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	238	1489801	16.0
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	221	1481551	14.9
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	194	1485152	13.1
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	231	1489930	15.5
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	234	1522210	15.4
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	234	1533483	15.3
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	241	1546904	15.6
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	253	1552970	16.3
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	270	1557781	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	347	1590740	21.8
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	433	1632264	26.5
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	518	1672284	31.0
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	668	1728099	38.7
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	770	1770880	43.5
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	881	1756095	50.2
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	968	1729353	56.0
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	972	1672484	58.1
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	1040	1609811	64.6
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	1088	1547061	70.3
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	1101	1503993	73.2
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	1184	1473963	80.3
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	1176	1472714	79.9
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	1320	1461363	90.3
