"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	5588	573271	974.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	344	580905	59.2
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	214	594460	36.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	167	601048	27.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	129	606747	21.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	116	609665	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	100	607785	16.5
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	109	605952	18.0
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	105	607482	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	102	610470	16.7
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	87	613100	14.2
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	94	625462	15.0
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	111	633498	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	123	625040	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	125	613053	20.4
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	159	606097	26.2
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	183	602934	30.4
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	243	606590	40.1
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	380	622696	61.0
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	376	642382	58.5
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	451	644294	70.0
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	503	639619	78.6
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	530	641840	82.6
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	625	642608	97.3
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	567	657445	86.2
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	675	687059	98.2
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	706	709793	99.5
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	757	726261	104.2
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	824	741367	111.1
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	864	743226	116.2
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	948	717019	132.2
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	930	674071	138.0
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	966	640647	150.8
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	1062	623626	170.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	1049	617206	170.0
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	1123	604035	185.9
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	1132	595716	190.0
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	1242	599863	207.0
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	1363	598248	227.8
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	1447	606374	238.6
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	1489	597088	249.4
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	1620	567119	285.7
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	1615	553833	291.6
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	1735	539332	321.7
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	1784	535105	333.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	1901	534087	355.9
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	2068	533815	387.4
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	2198	550784	399.1
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	2439	572236	426.2
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	2758	582013	473.9
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	2801	557684	502.3
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	2928	537367	544.9
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	3311	537983	615.4
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	3565	546326	652.5
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	3955	568074	696.2
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	4379	579038	756.3
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	4698	572930	820.0
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	5235	565846	925.2
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	5452	563511	967.5
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	5950	569317	1045.1
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	6523	560747	1163.3
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	6742	537845	1253.5
