"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2004"	"2004"	3608	285612	1263.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2005"	"2005"	3670	286197	1282.3
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2006"	"2006"	3793	292848	1295.2
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2007"	"2007"	3835	307533	1247.0
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	"2008"	"2008"	3641	308940	1178.5
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2004"	"2004"	209	283082	73.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2005"	"2005"	189	284927	66.3
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2006"	"2006"	196	285462	68.7
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2007"	"2007"	207	292000	70.9
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	"2008"	"2008"	181	306564	59.0
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2004"	"2004"	127	288839	44.0
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2005"	"2005"	99	283464	34.9
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2006"	"2006"	152	285501	53.2
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2007"	"2007"	128	286185	44.7
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	"2008"	"2008"	113	292885	38.6
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2004"	"2004"	93	296458	31.4
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2005"	"2005"	80	289630	27.6
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2006"	"2006"	74	284471	26.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2007"	"2007"	89	286671	31.0
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	"2008"	"2008"	100	287549	34.8
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2004"	"2004"	76	288694	26.3
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2005"	"2005"	91	299539	30.4
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2006"	"2006"	74	293286	25.2
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2007"	"2007"	69	288693	23.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	"2008"	"2008"	63	291459	21.6
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2004"	"2004"	81	287012	28.2
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2005"	"2005"	64	290370	22.0
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2006"	"2006"	55	301510	18.2
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2007"	"2007"	54	295354	18.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	"2008"	"2008"	51	290909	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2004"	"2004"	55	288926	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2005"	"2005"	56	286576	19.5
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2006"	"2006"	62	289738	21.4
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2007"	"2007"	53	300561	17.6
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	"2008"	"2008"	51	294198	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2004"	"2004"	63	290254	21.7
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2005"	"2005"	62	290188	21.4
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2006"	"2006"	45	288048	15.6
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2007"	"2007"	40	291313	13.7
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	"2008"	"2008"	37	302244	12.2
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2004"	"2004"	53	296229	17.9
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2005"	"2005"	51	290953	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2006"	"2006"	43	290884	14.8
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2007"	"2007"	46	288690	15.9
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	"2008"	"2008"	43	291902	14.7
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2004"	"2004"	52	310022	16.8
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2005"	"2005"	58	299363	19.4
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2006"	"2006"	50	294549	17.0
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2007"	"2007"	45	294860	15.3
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	"2008"	"2008"	42	293071	14.3
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2004"	"2004"	61	328583	18.6
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2005"	"2005"	48	321472	14.9
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2006"	"2006"	52	312284	16.7
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2007"	"2007"	56	309114	18.1
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	"2008"	"2008"	43	311330	13.8
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2004"	"2004"	64	334504	19.1
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2005"	"2005"	65	326570	19.9
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2006"	"2006"	55	318531	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2007"	"2007"	45	308565	14.6
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	"2008"	"2008"	67	304460	22.0
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2004"	"2004"	71	340327	20.9
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2005"	"2005"	56	337556	16.6
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2006"	"2006"	57	329688	17.3
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2007"	"2007"	43	321674	13.4
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	"2008"	"2008"	40	311742	12.8
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2004"	"2004"	83	343814	24.1
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2005"	"2005"	60	341312	17.6
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2006"	"2006"	61	338271	18.0
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2007"	"2007"	74	330147	22.4
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	"2008"	"2008"	65	321918	20.2
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2004"	"2004"	98	348140	28.1
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2005"	"2005"	95	342791	27.7
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2006"	"2006"	67	339696	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2007"	"2007"	78	336032	23.2
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	"2008"	"2008"	69	327352	21.1
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2004"	"2004"	88	331555	26.5
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2005"	"2005"	101	352662	28.6
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2006"	"2006"	84	347853	24.1
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2007"	"2007"	92	345265	26.6
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	"2008"	"2008"	93	342044	27.2
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2004"	"2004"	110	320943	34.3
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2005"	"2005"	100	334979	29.9
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2006"	"2006"	88	356426	24.7
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2007"	"2007"	101	351808	28.7
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	"2008"	"2008"	100	349399	28.6
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2004"	"2004"	124	311417	39.8
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2005"	"2005"	124	321646	38.6
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2006"	"2006"	109	335370	32.5
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2007"	"2007"	121	356432	33.9
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	"2008"	"2008"	126	351411	35.9
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2004"	"2004"	138	310151	44.5
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2005"	"2005"	150	315984	47.5
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2006"	"2006"	163	326764	49.9
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	"2007"	"2007"	154	341041	45.2
