"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	18540	1434062	1292.8
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	1031	1441664	71.5
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	667	1434857	46.5
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	471	1429480	32.9
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	396	1464482	27.0
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	331	1495255	22.1
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	321	1530020	21.0
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	299	1576231	19.0
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	268	1612183	16.6
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	317	1653463	19.2
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	304	1680723	18.1
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	340	1650283	20.6
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	328	1628067	20.1
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	337	1584830	21.3
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	398	1544521	25.8
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	399	1509407	26.4
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	506	1494679	33.9
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	663	1483028	44.7
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	790	1477635	53.5
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	823	1500302	54.9
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	994	1481909	67.1
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	1021	1452923	70.3
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	1055	1418581	74.4
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	1086	1362588	79.7
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	1040	1324773	78.5
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	1129	1304750	86.5
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	1192	1289803	92.4
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	1326	1310330	101.2
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	1349	1333171	101.2
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	1644	1358867	121.0
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	1678	1392961	120.5
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	1746	1384382	126.1
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	1991	1392230	143.0
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	2209	1381972	159.8
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	2349	1397164	168.1
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	2634	1447650	182.0
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	2950	1464836	201.4
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	3268	1495899	218.5
