"Notes"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Black or African American"	"2054-5"	"Female"	"F"	"< 1 year"	"0"	14973	1483843	1009.1
	"Black or African American"	"2054-5"	"Female"	"F"	"1 year"	"1"	831	1500301	55.4
	"Black or African American"	"2054-5"	"Female"	"F"	"2 years"	"2"	577	1502635	38.4
	"Black or African American"	"2054-5"	"Female"	"F"	"3 years"	"3"	363	1504846	24.1
	"Black or African American"	"2054-5"	"Female"	"F"	"4 years"	"4"	336	1504730	22.3
	"Black or African American"	"2054-5"	"Female"	"F"	"5 years"	"5"	256	1508132	17.0
	"Black or African American"	"2054-5"	"Female"	"F"	"6 years"	"6"	267	1523141	17.5
	"Black or African American"	"2054-5"	"Female"	"F"	"7 years"	"7"	249	1536252	16.2
	"Black or African American"	"2054-5"	"Female"	"F"	"8 years"	"8"	235	1540483	15.3
	"Black or African American"	"2054-5"	"Female"	"F"	"9 years"	"9"	258	1539121	16.8
	"Black or African American"	"2054-5"	"Female"	"F"	"10 years"	"10"	226	1533710	14.7
	"Black or African American"	"2054-5"	"Female"	"F"	"11 years"	"11"	259	1516068	17.1
	"Black or African American"	"2054-5"	"Female"	"F"	"12 years"	"12"	265	1504990	17.6
	"Black or African American"	"2054-5"	"Female"	"F"	"13 years"	"13"	253	1511060	16.7
	"Black or African American"	"2054-5"	"Female"	"F"	"14 years"	"14"	302	1530953	19.7
	"Black or African American"	"2054-5"	"Female"	"F"	"15 years"	"15"	375	1545468	24.3
	"Black or African American"	"2054-5"	"Female"	"F"	"16 years"	"16"	403	1564539	25.8
	"Black or African American"	"2054-5"	"Female"	"F"	"17 years"	"17"	484	1580193	30.6
	"Black or African American"	"2054-5"	"Female"	"F"	"18 years"	"18"	682	1586242	43.0
	"Black or African American"	"2054-5"	"Female"	"F"	"19 years"	"19"	802	1597577	50.2
	"Black or African American"	"2054-5"	"Female"	"F"	"20 years"	"20"	907	1631059	55.6
	"Black or African American"	"2054-5"	"Female"	"F"	"21 years"	"21"	1058	1670312	63.3
	"Black or African American"	"2054-5"	"Female"	"F"	"22 years"	"22"	1054	1716115	61.4
	"Black or African American"	"2054-5"	"Female"	"F"	"23 years"	"23"	1176	1767180	66.5
	"Black or African American"	"2054-5"	"Female"	"F"	"24 years"	"24"	1231	1799110	68.4
	"Black or African American"	"2054-5"	"Female"	"F"	"25 years"	"25"	1394	1795270	77.6
	"Black or African American"	"2054-5"	"Female"	"F"	"26 years"	"26"	1434	1762532	81.4
	"Black or African American"	"2054-5"	"Female"	"F"	"27 years"	"27"	1506	1710639	88.0
	"Black or African American"	"2054-5"	"Female"	"F"	"28 years"	"28"	1523	1646937	92.5
	"Black or African American"	"2054-5"	"Female"	"F"	"29 years"	"29"	1516	1587424	95.5
	"Black or African American"	"2054-5"	"Female"	"F"	"30 years"	"30"	1571	1538392	102.1
	"Black or African American"	"2054-5"	"Female"	"F"	"31 years"	"31"	1684	1513514	111.3
	"Black or African American"	"2054-5"	"Female"	"F"	"32 years"	"32"	1887	1501141	125.7
	"Black or African American"	"2054-5"	"Female"	"F"	"33 years"	"33"	1989	1492021	133.3
	"Black or African American"	"2054-5"	"Female"	"F"	"34 years"	"34"	2115	1494700	141.5
	"Black or African American"	"2054-5"	"Female"	"F"	"35 years"	"35"	2266	1489321	152.1
	"Black or African American"	"2054-5"	"Female"	"F"	"36 years"	"36"	2418	1470285	164.5
	"Black or African American"	"2054-5"	"Female"	"F"	"37 years"	"37"	2548	1447654	176.0
	"Black or African American"	"2054-5"	"Female"	"F"	"38 years"	"38"	2532	1415395	178.9
	"Black or African American"	"2054-5"	"Female"	"F"	"39 years"	"39"	2778	1379865	201.3
	"Black or African American"	"2054-5"	"Female"	"F"	"40 years"	"40"	2822	1355443	208.2
	"Black or African American"	"2054-5"	"Female"	"F"	"41 years"	"41"	3075	1349222	227.9
	"Black or African American"	"2054-5"	"Female"	"F"	"42 years"	"42"	3460	1355060	255.3
	"Black or African American"	"2054-5"	"Female"	"F"	"43 years"	"43"	3656	1385869	263.8
	"Black or African American"	"2054-5"	"Female"	"F"	"44 years"	"44"	3915	1406475	278.4
	"Black or African American"	"2054-5"	"Female"	"F"	"45 years"	"45"	4326	1413676	306.0
	"Black or African American"	"2054-5"	"Female"	"F"	"46 years"	"46"	4798	1413825	339.4
	"Black or African American"	"2054-5"	"Female"	"F"	"47 years"	"47"	5009	1405094	356.5
	"Black or African American"	"2054-5"	"Female"	"F"	"48 years"	"48"	5382	1393012	386.4
	"Black or African American"	"2054-5"	"Female"	"F"	"49 years"	"49"	6073	1396983	434.7
	"Black or African American"	"2054-5"	"Female"	"F"	"50 years"	"50"	6643	1420021	467.8
	"Black or African American"	"2054-5"	"Female"	"F"	"51 years"	"51"	7498	1437908	521.5
	"Black or African American"	"2054-5"	"Female"	"F"	"52 years"	"52"	8038	1452834	553.3
	"Black or African American"	"2054-5"	"Female"	"F"	"53 years"	"53"	8917	1459511	611.0
	"Black or African American"	"2054-5"	"Female"	"F"	"54 years"	"54"	9788	1458921	670.9
	"Black or African American"	"2054-5"	"Female"	"F"	"55 years"	"55"	10370	1447329	716.5
	"Black or African American"	"2054-5"	"Female"	"F"	"56 years"	"56"	11165	1430252	780.6
	"Black or African American"	"2054-5"	"Female"	"F"	"57 years"	"57"	11964	1414152	846.0
	"Black or African American"	"2054-5"	"Female"	"F"	"58 years"	"58"	12646	1385047	913.0
	"Black or African American"	"2054-5"	"Female"	"F"	"59 years"	"59"	13077	1343589	973.3
	"Black or African American"	"2054-5"	"Female"	"F"	"60 years"	"60"	13666	1300498	1050.8
	"Black or African American"	"2054-5"	"Female"	"F"	"61 years"	"61"	13983	1250559	1118.1
	"Black or African American"	"2054-5"	"Female"	"F"	"62 years"	"62"	14399	1190667	1209.3
	"Black or African American"	"2054-5"	"Female"	"F"	"63 years"	"63"	14555	1139956	1276.8
	"Black or African American"	"2054-5"	"Female"	"F"	"64 years"	"64"	14841	1089219	1362.5
	"Black or African American"	"2054-5"	"Female"	"F"	"65 years"	"65"	15090	1037878	1453.9
	"Black or African American"	"2054-5"	"Female"	"F"	"66 years"	"66"	15381	991352	1551.5
	"Black or African American"	"2054-5"	"Female"	"F"	"67 years"	"67"	15409	946492	1628.0
	"Black or African American"	"2054-5"	"Female"	"F"	"68 years"	"68"	14933	869966	1716.5
	"Black or African American"	"2054-5"	"Female"	"F"	"69 years"	"69"	15118	800316	1889.0
	"Black or African American"	"2054-5"	"Female"	"F"	"70 years"	"70"	14773	736327	2006.3
	"Black or African American"	"2054-5"	"Female"	"F"	"71 years"	"71"	14914	680981	2190.1
	"Black or African American"	"2054-5"	"Female"	"F"	"72 years"	"72"	14936	622412	2399.7
	"Black or African American"	"2054-5"	"Female"	"F"	"73 years"	"73"	15090	589465	2559.9
	"Black or African American"	"2054-5"	"Female"	"F"	"74 years"	"74"	15100	553730	2727.0
	"Black or African American"	"2054-5"	"Female"	"F"	"75 years"	"75"	15686	516553	3036.7
	"Black or African American"	"2054-5"	"Female"	"F"	"76 years"	"76"	15733	478610	3287.2
	"Black or African American"	"2054-5"	"Female"	"F"	"77 years"	"77"	15898	446610	3559.7
	"Black or African American"	"2054-5"	"Female"	"F"	"78 years"	"78"	16227	418430	3878.1
	"Black or African American"	"2054-5"	"Female"	"F"	"79 years"	"79"	16510	390229	4230.8
	"Black or African American"	"2054-5"	"Female"	"F"	"80 years"	"80"	17050	364188	4681.6
	"Black or African American"	"2054-5"	"Female"	"F"	"81 years"	"81"	17263	338259	5103.5
	"Black or African American"	"2054-5"	"Female"	"F"	"82 years"	"82"	17741	313135	5665.6
	"Black or African American"	"2054-5"	"Female"	"F"	"83 years"	"83"	17362	285961	6071.5
	"Black or African American"	"2054-5"	"Female"	"F"	"84 years"	"84"	17610	261797	6726.6
	"Black or African American"	"2054-5"	"Female"	"F"	"85 years"	"85"	17455	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"86 years"	"86"	17324	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"87 years"	"87"	17350	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"88 years"	"88"	17010	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"89 years"	"89"	16727	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"90 years"	"90"	15964	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"91 years"	"91"	14949	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"92 years"	"92"	13517	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"93 years"	"93"	12226	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"94 years"	"94"	10959	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"95 years"	"95"	9388	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"96 years"	"96"	7833	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"97 years"	"97"	6459	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"98 years"	"98"	5145	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"99 years"	"99"	3976	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"100+ years"	"100"	11050	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Female"	"F"	"Not Stated"	"NS"	20	Not Applicable	Not Applicable
	"Black or African American"	"2054-5"	"Male"	"M"	"< 1 year"	"0"	18581	1547118	1201.0
	"Black or African American"	"2054-5"	"Male"	"M"	"1 year"	"1"	1077	1548651	69.5
	"Black or African American"	"2054-5"	"Male"	"M"	"2 years"	"2"	725	1553517	46.7
	"Black or African American"	"2054-5"	"Male"	"M"	"3 years"	"3"	600	1558274	38.5
	"Black or African American"	"2054-5"	"Male"	"M"	"4 years"	"4"	450	1557275	28.9
	"Black or African American"	"2054-5"	"Male"	"M"	"5 years"	"5"	359	1559792	23.0
